id,name,years,institutions,countries,affiliations_comment,journal_names,works_count,total_works_count,total_cited_by_count
A5031807665,Abdul-Ilah Abu Ayyash,1981,Kuwait University,KW,,Journal of Palestine Studies,2,2,15
A5025959269,Abdul-Ilah Abu-Ayyash,1976,Kuwait University,KW,,Journal of Palestine Studies,2,3,31
A5067494578,Abdullah Schleifer,1972,,,"Abdullah Schleifer, who is of Jewish origin, is the author of The Fall of Jerusalem (New York: Monthly Review Press, 1972) and Middle East correspondent for Jeune Afrique.",Journal of Palestine Studies,2,7,11
A5083695949,Abdul‐Karim Rafeq,1995,William & Mary;Williams (United States),US,,British Journal of Middle Eastern Studies (BRISMES),1,57,219
A5089350918,Abebe Zegeye,2004,University of South Africa,ZA,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,146,44032
A5048895898,Abigail B. Bakan,2008;2021,Ontario College of Art and Design;Queen's University;University of Toronto,CA,,"Ethnic and Racial Studies;Social Identities: Journal for the Study of Race, Nation and Culture",2,85,1775
A5094070882,Abir Gitlin,2024,Hebrew University of Jerusalem,IL,,American Journal of Political Science (AJPS),1,2,5
A5057212248,Abraham Ben-Zvi,1976;1990,Hebrew University of Jerusalem;Tel Aviv University,IL,,American Political Science Review (APSR);World Politics,2,58,256
A5001024931,Abraham Diskin,2004,Hebrew University of Jerusalem,IL,,Journal of Politics (JOP),1,85,835
A5018532632,Abraham H. Foxman,2004,,,,Middle East Journal,1,6,164
A5052432405,Abraham Sagi-Schwartz,2012,University of Haifa,IL,,Journal of Loss and Trauma,1,51,2582
A5001971381,Abraham Stahl,1992,Hebrew University of Jerusalem,IL,,Ethnic and Racial Studies,1,34,127
A5045700322,Abraham Weinberg,1962,,,,American Sociological Review (ASR),1,41,172
A5062943377,Abraham Yogev,1987;1999;2005,Tel Aviv University,IL,,Ethnic and Racial Studies;European Sociological Review (ESR);The British Journal of Sociology (BJS),3,47,761
A5087466588,Abram Chayes,1984,,,Harvard Law School,American Journal of International Law (AJIL),1,86,5805
A5038307310,Abu Jihad,1981,,,,Journal of Palestine Studies,2,5,12
A5057031538,Adam Hanieh,2003;2006;2016;2020,Cambridge University Press,GB,,Journal of Palestine Studies,4,108,1744
A5056405685,Adam Hosein,2021,Northeastern University,US,,Ethnic and Racial Studies,1,38,318
A5101629294,Adam Jones,2010;2020,Okanagan University College;University of British Columbia,CA,,Genocide Studies and Prevention: An International Journal (GSP);Journal of Genocide Research (JGR),2,516,3259
A5052371111,Adam M Geary,2007,,,,Cultural Studies,1,13,65
A5052454696,Adam Roberts,1990,University of Oxford,GB,,American Journal of International Law (AJIL),1,423,19078
A5080257498,Adam Shapiro,2006,,,,Journal of Palestine Studies,1,110,2430
A5030753359,Adam Sutcliffe,2022;2024,King's College London,GB,,Ethnicities;Journal of Genocide Research (JGR),2,110,710
A5015053942,Adan Tatour,2024,,,,Journal of Palestine Studies,1,3,10
A5037706421,Adane Zawdu,2011,,,,Ethnic and Racial Studies,1,3,48
A5077265997,Adar Ben-Eliyahu,2011,Duke University,US,,Journal of Personality and Social Psychology (JPSP),1,35,2174
A5076803654,Adel Samara,2000,,,,Journal of Palestine Studies,2,2,94
A5018315332,Adham Saouli,2014,University of Chicago,US,,British Journal of Middle Eastern Studies (BRISMES),1,38,339
A5040049695,Adi Amit,2024,Open University of Israel,IL,,Group Processes & Intergroup Relations (GPIR),1,34,531
A5061032998,Adi Finkelstein,2021,Jerusalem College of Technology,IL,,Human Rights Quarterly;Journal of Human Rights (JHR),2,51,358
A5088163615,Adi Kuntsman,2008,,,,Journal of Ethnic and Migration Studies (JEMS),1,106,1341
A5091899947,Adi Ophir,2019,John Brown University,US,,Philosophy and Social Criticism,1,87,1161
A5000923035,Adi Sherzer,2021,Hebrew University of Jerusalem,IL,,British Journal of Middle Eastern Studies (BRISMES),1,18,20
A5038124472,Adi Shtrul,2017,Reichman University,IL,,Personality and Social Psychology Bulletin (PSPB),1,1,5
A5060407973,Adi Vitman Schorr,2025,Center for Innovation;Tel Hai Academic College,IL;US,,Journal of Loss and Trauma,1,13,193
A5011386686,Adi Yehoshua-Halevi,2007,Ariel University,IL,,Journal of Loss and Trauma,1,1,17
A5054452403,Adia Mendelson-Maoz,2013,Open University of Israel,IL,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,40,79
A5077323052,Adila Laïïdi-Hanieh,2007,,,,Journal of Palestine Studies,1,2,5
A5017904600,Adnan Abed Elrazik,1978,Bethlehem University;Hebrew University of Jerusalem,IL;PS,,Journal of Palestine Studies,2,3,6
A5012018580,Adolph Reed,2005,,,,Journal of Palestine Studies,1,92,2248
A5022787902,Adrian Guelke,1997,Queen's University Belfast,GB,,Ethnic and Racial Studies,1,236,1957
A5034522870,Adrian Gully,1998,American University of Sharjah,AE,,British Journal of Middle Eastern Studies (BRISMES),1,4,14
A5046393756,Adriana Kemp,2000;2004;2016;2020,Tel Aviv University,IL,,"Ethnic and Racial Studies;Journal of Ethnic and Migration Studies (JEMS);Law and Society Review;Social Identities: Journal for the Study of Race, Nation and Culture",4,55,938
A5019580544,Adva Swisa,2021,Oranim Academic College of Education,IL,,Journal of Loss and Trauma,1,1,10
A5113476674,Aharon Barak,1969,,,,International & Comparative Law Quarterly (ICLQ),1,141,2302
A5025039987,Aharon Bizman,2001,Bar-Ilan University,IL,,Personality and Social Psychology Bulletin (PSPB),1,47,1000
A5048405285,Ahmad Amara,2013;2023,,,,Journal of Palestine Studies,2,42,241
A5073508643,Ahmad Beydoun,1992,,,,Journal of Palestine Studies,1,11,32
A5013696106,Ahmad H. Sa'di,1996;1997;2004;2016;2017,Ben-Gurion University of the Negev,IL,,"British Journal of Middle Eastern Studies (BRISMES);Journal of Palestine Studies;Social Identities: Journal for the Study of Race, Nation and Culture",5,76,927
A5109983839,Ahmad Khalifa,1981,,,,Journal of Palestine Studies,2,7,2
A5111765680,Ahmad M. Baker,2005,,,,Middle East Journal,1,59,603
A5057469366,Ahmad R. Haffar,1972,SUNY New Paltz,US,,Journal of Palestine Studies,2,2,0
A5007610737,Ahmad S. Dallal,1995,,,,Journal of Palestine Studies,1,58,492
A5110488447,Ahmad Samih Khalidi,2011;2016;2017,,,"Ahmad Samih Khalidi, a former Palestinian negotiator, is editor of Majallat al-Dirasat al-Filastiniyya, the Arabic-language sister publication to the Journal of Palestine Studies.",Journal of Palestine Studies,3,22,196
A5000181177,Ahmad Sidqi Al-Dajani,1980,The Dialogue,US,,Journal of Palestine Studies,1,2,6
A5057190227,Ahmed Bouzid,2005,,,,Journal of Palestine Studies,2,2,0
A5110738832,Ahmed H. Ibrahim,1996,Missouri State University,US,,International Journal of Middle East Studies (IJMES),1,92,863
A5009259575,Ahmed Khalidi,1972;1973,,,"Ahmed Khalidi is a Ph.D. candidate in the University of London and co-author of Weapons and Equipment of the Israeli Armed Forces (Beirut: Institute for Palestine Studies, 1970).;Ahmed S. Khalidi is a Ph. D. candidate at the War Studies Department, Kings College, London University, and co-author of Weapons and Equipment of the Israeli Armed Forces (Beirut: Institute for Palestine Studies, 1970).;Ahmed S. Khalidi, an Oxford graduate, is currently at the University of London. He is co-author of Weapons and Equipment of the Israeli Armed Forces (Beirut: Institute for Palestine Studies, 1970).",Journal of Palestine Studies,5,7,24
A5025547740,Ahmed Khalifa,1984,,,,Journal of Palestine Studies,2,96,1352
A5023370061,Aiala Szyfer Lipinsky,2024,University of Haifa,IL,,Journal of Loss and Trauma,1,5,22
A5087601596,Aisha Phoenix,2025,King's College London;King's College School,GB,,Ethnic and Racial Studies,1,43,261
A5009706187,Akbar S Ahmed,1996,University of Cambridge,GB,,Ethnic and Racial Studies,1,182,2630
A5103174844,Akhlas Ismail,2021,Bar-Ilan University,IL,,Journal of Loss and Trauma,1,6,11
A5087604840,Akiba J. Covitz,1999,,,,Middle East Journal,1,4,38
A5038888247,Akihiro Masuyama,2021,IRYO Sosei University,JP,,Journal of Loss and Trauma,1,58,939
A5035232696,Akiko Hashimoto,2016,University of Pittsburgh,US,,American Journal of Sociology (AJS),1,173,6278
A5083666316,Akiva Orr,1971;1985,,,,Journal of Palestine Studies;New Left Review,3,14,30
A5066069899,Akram Hanieh,2001,,,,Journal of Palestine Studies,1,1,35
A5058124747,Akram Khater,2016,,,,International Journal of Middle East Studies (IJMES),1,71,632
A5056074857,Al-Yawm al-Savi,1987,,,,Journal of Palestine Studies,2,2,0
A5010488566,Alaa Shehada,2025,,,,Journal of Palestine Studies,1,2,0
A5020555128,Alaa Tartir,2017,,,,Journal of Palestine Studies,1,83,353
A5046310709,Alain Gresh,1997;1998;2011,,,,Journal of Palestine Studies;Middle East Journal,3,162,178
A5089187152,Alan Dowty,1980;1994;2002,University of Notre Dame,US,,American Political Science Review (APSR);International Journal of Middle East Studies (IJMES),3,97,775
A5033126957,Alan Fisher,1976,"California State University, Dominguez Hills",US,,American Political Science Review (APSR),2,10,31
A5031831834,Alan George,1979,,,"Alan George is a former Assistant Director of the Council for the Advancement of Arab-British Understanding, London.",Journal of Palestine Studies,1,2,37
A5049884252,Alan P. Dobson,2006,,,,Middle East Journal,1,179,690
A5101505309,Alan R. Taylor,1972;1974;1982,American University;New York University Press;Syracuse University,US,,Journal of Palestine Studies,5,39,157
A5012246069,Alan S. Kaye,1997,"California State University, Fullerton",US,,British Journal of Middle Eastern Studies (BRISMES),1,565,5821
A5061059598,Alan S. Zuckerman,1999,John Brown University,US,,American Political Science Review (APSR),1,95,3190
A5004737410,Alan Wakelam*,1999,University of Exeter,GB,,British Journal of Middle Eastern Studies (BRISMES),1,5,298
A5020884763,Albert Blaustein,1974,,,Deceased,American Journal of International Law (AJIL),1,81,468
A5023553870,Aleida Assmann,2018,University of Konstanz,DE,,Memory Studies,1,548,6753
A5065487029,Alejandro I. Paz,2023,University of Toronto,CA,,International Journal of Middle East Studies (IJMES),1,16,141
A5010685803,Alek D. Epstein,2002,Open University of Israel,IL,,Journal of Human Rights (JHR),1,46,224
A5025146218,Alessandro Bausani,1981,,,,Current Anthropology,1,60,376
A5110061033,Alex Ajay,1974,,,"The authors are members of the Middle East Research and Information Project, publishers of MERIP Reports, in Washington, DC. This article is an abbreviated version of a more intensive study by the authors.",Journal of Palestine Studies,1,2,1
A5102681280,Alex Alvarez,2006,,,,Genocide Studies and Prevention: An International Journal (GSP),2,56,353
A5046350598,Alex Inkeles,1969;1974,Harvard University Press;Stanford University,US,,American Political Science Review (APSR);Journal of Social Issues (JSI),3,284,8141
A5033754869,Alex Lubin,2019,,,,Journal of Palestine Studies,1,48,258
A5110159255,Alex Mintz,1989,Mitchell Institute;Texas A&M University,US,,American Political Science Review (APSR),1,165,3461
A5054964151,Alex Radian,1983,Hebrew University of Jerusalem,IL,,American Political Science Review (APSR),1,4,38
A5013561319,Alex Weingrod,1962;1967;1972;1974;1975;1979;1982;1993;1998;2004;2007,Ben-Gurion University of the Negev;Brandeis University;Hebrew College,IL;US,,American Anthropologist;American Journal of Sociology (AJS);American Sociological Review (ASR);Cultural Anthropology;Ethnic and Racial Studies;Ethnos: Journal of Anthropology;International Journal of Middle East Studies (IJMES),11,59,990
A5073959032,Alex Winder,2005;2021,,,,Journal of Palestine Studies,2,23,25
A5114027323,Alexander Drozdov,2021,"T.H. Shevchenko National University ""Chernihiv Colehium""",UA,,Journal of Loss and Trauma,1,9,256
A5113722567,Alexander Kedar,2016,University of Haifa,IL,,Law and Social Inquiry,1,7,39
A5085637426,Alexander Koensler,2012,Institute for Conflict Research,GB,,Ethnic and Racial Studies,1,42,120
A5048245297,Alexander P Landry,2025,Stanford University,US,,Journal of Personality and Social Psychology (JPSP),1,37,615
A5018592197,Alexander Reznik,2020;2021;2022,Ben-Gurion University of the Negev,IL,,Journal of Loss and Trauma,7,115,2502
A5005627658,Alexander Scholch,1992,,,,Journal of Palestine Studies,1,41,547
A5014610119,Alexandra A. Siegel,2022,University of Colorado Boulder;University of Colorado System,US,,American Journal of Political Science (AJPS),1,63,2104
A5071939406,Alexandra Maryanski,2012,"University of California, Riverside",US,,American Journal of Sociology (AJS),1,117,938
A5098750918,Alexandra Tatar,2024,Academy of Fine Arts Vienna,AT,,Middle East Critique,1,2,1
A5045164142,Alford A. Young,2017,University of Michigan,US,,Ethnic and Racial Studies,1,73,1746
A5064917673,Alfred P. Rubin,1985,,,The Fletcher School of Law and Diplomacy,American Journal of International Law (AJIL),1,209,1065
A5053483867,Ali Abunimah,2007;2008;2013,,,,Journal of Palestine Studies,3,28,273
A5004311631,Ali Jarbawi,1993,,,,Journal of Palestine Studies,2,2,3
A5070259927,Ali Kadri,1998,,,,Middle East Journal,1,75,492
A5084383553,Ali Rahigh-Aghsan,2010,Roskilde University,DK,,Middle East Journal,1,4,31
A5062791843,Ali Çarkoğlu,2018,Koç University,TR,,British Journal of Middle Eastern Studies (BRISMES),1,167,2260
A5050625839,Alice Bloch,2021,University of Manchester,GB,,Thesis Eleven: Critical Theory and Historical Sociology,1,156,2959
A5018785398,Alin M. Ceobanu,2021,University of Florida,US,,Ethnic and Racial Studies,1,21,1300
A5019176897,Alina Achenbach,2024,University of Groningen,NL,,Middle East Critique,1,4,2
A5081078078,Alireza Raisi,2023,Boston University;Northeastern University,US,,British Journal of Middle Eastern Studies (BRISMES),1,11,51
A5058148697,Alisa C. Lewin,2016;2019,University of Haifa,IL,,Ethnic and Racial Studies;Journal of Ethnic and Migration Studies (JEMS),2,41,696
A5080340781,Alisa Rubin Peled,1993;2001;2008;2009,Harvard University,US,,British Journal of Middle Eastern Studies (BRISMES);Middle East Journal,4,13,186
A5013429112,Alisa Stadler,1973,,,,Patterns of Prejudice,1,1,0
A5080922814,Alison Dundes Renteln,2016,University of Southern California,US,,Law and Society Review,1,110,1152
A5025685211,Alison Landsberg,1997,,,,New German Critique,1,37,1620
A5011680349,Alison M. Bowes,1988;1990,University of Stirling,GB,"Department of Sociology and Social Policy University of Stirlig, Scotland",Ethnos: Journal of Anthropology;International Journal of Middle East Studies (IJMES),2,112,3436
A5021527136,Alissa Boguslaw,2020,Coe College,US,,Memory Studies,1,5,7
A5005275161,Allan Arkush,1999,,,,New German Critique,1,71,905
A5026296904,Allan Brownfeld,1987,,,"Allan Brownfeld is a syndicated columnist whose articles appear in newspapers throughout the U.S. and abroad. He is also associate editor of the Lincoln Review, a quarterly journal published in Washington, D.C.",Journal of Palestine Studies,1,14,8
A5067687164,Allan E. Shapiro,1974;1976,University of Haifa,IL,,American Political Science Review (APSR);Law and Society Review,3,9,17
A5030019677,Allan Gerson,1985;1993,George Mason University;United Nations,US,,American Journal of International Law (AJIL),2,58,191
A5054584252,Allan R. Roth,1967,,,,Stanford Law Review,1,4,4
A5076713489,Allison Astorino-Courtois,1996,Mitchell Institute;Texas A&M University,US,,Journal of Politics (JOP),1,29,129
A5052797112,Allison Wilke,1997,,,"St Antony's College , Oxford",British Journal of Middle Eastern Studies (BRISMES),1,1,0
A5060951154,Allon J. Uhlmann,2010;2012,University of Missouri,US,,International Journal of Middle East Studies (IJMES);Middle East Critique,3,52,318
A5035309591,Allon Vishkin,2025,Technion – Israel Institute of Technology,IL,,Journal of Personality and Social Psychology (JPSP),1,43,1026
A5063846906,Alon Confino,2022,University of Massachusetts Amherst,US,,Middle East Journal,1,83,1894
A5084493640,Alon K. Raab,2012,,,,Middle East Journal,1,18,39
A5065442850,Alon Kadish,2005,,,,Middle East Journal,1,115,386
A5062163710,Alon Lazar,2004;2015,,,"Program for Education, Society and Culture, College for Academic Studies, Or Yehuda, Israel",Holocaust and Genocide Studies (HGS);Journal of Loss and Trauma,2,31,206
A5054967187,Alon Yakter,2022;2025,Tel Aviv University,IL,,British Journal of Political Science (BJPolS),2,20,59
A5043689813,Alona E. Evans,1975,,,,American Journal of International Law (AJIL),1,473,377
A5069882808,Alona Nitzan-Shiftan,2021,Technion – Israel Institute of Technology,IL,,Ethnic and Racial Studies,1,39,182
A5089015140,Alvaro San Martin,2019,ING Direct,US,,Journal of Personality and Social Psychology (JPSP),1,41,1025
A5062441480,Alyaa Ebbiary,2024,Lancaster University,GB,,Ethnicities,1,12,87
A5068640723,Amahl Bishara,2011;2023,Tufts University,US,,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies,2,47,610
A5023396050,Amal Amireh,2005,,,,Journal of Palestine Studies,1,32,645
A5087243017,Amal Eqeiq,2015;2019,,,,Journal of Palestine Studies,2,13,8
A5075984899,Amal Jamal,2000;2002;2006;2009;2011;2016;2017;2019;2021;2022;2025,Tel Aviv University,IL,,British Journal of Middle Eastern Studies (BRISMES);Constellations;Ethnic and Racial Studies;Ethnicities;European Journal of Cultural Studies;Journal of Ethnic and Migration Studies (JEMS);Journal of Palestine Studies;Middle East Journal,15,91,1059
A5033196401,Amal Rassam,1976,,,,American Journal of Sociology (AJS),1,35,552
A5056857751,Amalia Sa’ar,2001;2007;2008;2016;2023,University of Haifa,IL,,British Journal of Middle Eastern Studies (BRISMES);Current Anthropology;Ethnic and Racial Studies;Journal of Anthropological Research;Journal of the Royal Anthropological Institute (JRAI),5,46,952
A5025232838,Amaney Jamal,2012,Princeton University,US,,International Journal of Middle East Studies (IJMES),1,128,3677
A5018327038,Amelia C. Leiss,1965,Centre d'études et de recherches internationales de Sciences Po,FR,,World Politics,1,18,57
A5063828310,Amer Abdelhadi,2004,,,,Journal of Palestine Studies,1,1,5
A5081272251,Ami Ayalon,2010,,,,British Journal of Middle Eastern Studies (BRISMES),1,87,755
A5085219081,Ami Pedahzur,2004;2017,University of Haifa,IL,,Middle East Journal;Patterns of Prejudice,2,145,2528
A5010453460,Amichai Ben-Ari,2024,Ariel University,IL,,Journal of Loss and Trauma,1,31,316
A5034590771,Amir Goldstein,2020;2022;2023;2025,Tel Hai Academic College;University of Haifa,IL,,British Journal of Middle Eastern Studies (BRISMES);Holocaust Studies: A Journal of Culture and History,4,29,40
A5012262813,Amira Hass,2002,,,,Journal of Palestine Studies,1,6,185
A5025218700,Amit Goldenberg,2014,Stanford University,US,,Journal of Personality and Social Psychology (JPSP),1,171,3137
A5040901239,Amit Shrira,2011,Tel Aviv University,IL,,Journal of Loss and Trauma,1,199,4344
A5008903602,Amitai Etzioni,1959,,,,American Journal of Sociology (AJS),1,1048,23239
A5036915615;A5061618347,Ammiel Alcalay,1987,,,,Journal of Palestine Studies,2,4,297
A5073867389,Ammnon Assaf,2010,Israel Antiquities Authority;University of Haifa,IL,,Current Anthropology,1,2,25
A5002863120,Amneh Badran,2022,,,,Journal of Palestine Studies,1,15,21
A5005737067,Amnesty International,1985,,,,Journal of Palestine Studies,1,21,171
A5056103878,Amnon Denkner,1983,,,,Journal of Palestine Studies,2,2,3
A5032403933,Amnon Kapeliouk,1986;1987,,,,Journal of Palestine Studies,2,13,8
A5019127939,Amnon Kapeliuk,1977;1982,,,,Journal of Palestine Studies,3,5,0
A5005243606,Amnon Lev,2022,University of Copenhagen,DK,,Constellations,1,43,19
A5025333334,Amnon Rapoport,1985;1986,University of Haifa,IL,,American Journal of Political Science (AJPS);American Political Science Review (APSR),2,387,12018
A5010643155,Amnon Raz-Krakotzkin,2005,,,,Journal of Palestine Studies,1,26,389
A5077825664,Amnon Reichman,2010,University of Haifa,IL,,Law and Social Inquiry,1,53,163
A5098502570,Amnori Kapeliouk,1987,Diplomatique,FR,,Journal of Palestine Studies,1,1,4
A5053229859,Amos Goldberg,2012;2014;2016,Hebrew University of Jerusalem,IL,,Genocide Studies and Prevention: An International Journal (GSP);Journal of Genocide Research (JGR),3,44,259
A5010027871,Amos Perlmutter,1968;1974;1976;1995;1996;1997;2000,American University;University of California System;Woodrow Wilson International Center for Scholars,US,,American Political Science Review (APSR);Middle East Journal;World Politics,8,105,1231
A5032423901,Amr A. Shalakany,2002,,,,Leiden Journal of International Law (LJIL),1,11,156
A5020597876,Amr G. E. Sabet,1998,,,,Journal of Palestine Studies,1,82,258
A5066271836,Amr Kamal,2017,City College of New York;City University of New York,US,,International Journal of Middle East Studies (IJMES),1,3,4
A5073271806,Amr Yossef,2021,,,,Middle East Journal,1,21,81
A5076612843,Amy Auerbacher Wilson,1978,"Rutgers Sexual and Reproductive Health and Rights;Rutgers, The State University of New Jersey",NL;US,,American Political Science Review (APSR),1,28,507
A5009726393,Amy Hawthorne,2007,,,,Middle East Journal,1,11,82
A5070666665,Amy Leisenring,2018,San Jose State University,US,,American Journal of Sociology (AJS),1,40,271
A5089885906,Amy Louise Adamczyk,2005,,,,Journal of Genocide Research (JGR),1,1,4
A5071249713,Amy Mills,2008,,,,International Journal of Middle East Studies (IJMES),1,29,543
A5067824244,Amy Ross,2006,,,,Human Rights Quarterly,1,15,298
A5063551904,Amélie Godefroidt,2022,Norwegian University of Science and Technology,NO,,American Journal of Political Science (AJPS),1,34,675
A5051328492,Amílcar A Barreto,2021,Northeastern University,US,,Ethnicities,1,58,312
A5022851411,Ana Dragojlovic,2023,The University of Melbourne,AU,,American Anthropologist,1,76,390
A5046875473,Ana-Maria Cazan,2019,Transylvania University of Brașov,RO,,Group Processes & Intergroup Relations (GPIR),1,94,2050
A5097261163,Ana-s Antreasyan,2013,,,,Journal of Palestine Studies,1,1,13
A5040929488,Anaheed Al-Hardan,2011,Trinity College Dublin,IE,,British Journal of Middle Eastern Studies (BRISMES),1,38,189
A5013758704,Anastasia Christou,2010,University of Sussex,GB,,Journal of Ethnic and Migration Studies (JEMS),1,125,2517
A5082279821;A1009920504,Anastasia Gorodzeisky,2011;2012;2019;2023;2025,Fundación Juan March;Tel Aviv University,ES;IL,,Ethnic and Racial Studies;Ethnicities;European Sociological Review (ESR);Journal of Ethnic and Migration Studies (JEMS),7,61,2906
A5038051294,Anat Ben-Yonatan,2022,Tel Aviv University,IL,,Ethnicities,1,3,5
A5049080342,Anat Biletsky,2006,,,,Middle East Journal,1,1,0
A5037330759,Anat Feinberg,1997,,,,New German Critique,1,189,44
A5066746465,Anat Herbst-Debby,2022,Bar-Ilan University;Gender Studies,CZ;IL,,Ethnic and Racial Studies,1,31,274
A5042196307,Anat Kidron,2022,Tel Hai Academic College,IL,,British Journal of Middle Eastern Studies (BRISMES),1,42,26
A5029425629,Anat Leibler,2005,,,,Ethnic and Racial Studies,1,6,69
A5054907278,Anat Perry,2024;2025,Hebrew University of Jerusalem,IL,,Group Processes & Intergroup Relations (GPIR);Personality and Social Psychology Bulletin (PSPB),2,94,2879
A5055403499,Anat Zelig,2012,Ashkelon Academic College,IL,,Memory,1,6,80
A5021193739,Anda Barak-Bianco,2024,Ruppin Academic Center,IL,,Journal of Ethnic and Migration Studies (JEMS),1,6,35
A5047762447,Anders Björklund,1991,University of Gothenburg,SE,,Ethnos: Journal of Anthropology,1,910,82441
A5091016538,Anders Høg Hansen,2006,Malmö University,SE,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,54,90
A5001000073;A5103208819,Anders Persson,2018,University of Copenhagen,DK,Statsvetenskapliga institutionen,Middle East Critique,3,152,746
A5029182811,Anders Strindberg,2004,,,,Middle East Journal,1,8,36
A5102085078,Anderson D. Smith,2006,Georgia Institute of Technology,US,,Memory,1,67,5289
A5012985528,Andre Beaufre,1974,,,,Journal of Palestine Studies,2,30,250
A5112066068,Andre G. Kuczewski,1985;1986,McGill University,CA,,Journal of Palestine Studies,4,41,319
A5018794864,Andrea Barron,1985;1988;1995,American University,US,"Andrea Barron is a Ph.D. candidate in International Relations at the American University in Washington, D.C. and sits on the advisory board of the American-Israel Council for Israeli-Palestinian Peace (AICIPP), the sister group of the Israeli Council founded by Uri Avnery in 1976.",Journal of Palestine Studies,8,24,11
A5046720341,Andrea Bohman,2013,,,,Ethnic and Racial Studies,1,37,838
A5033581865,Andrea Reiter,1997,,,,Patterns of Prejudice,1,137,333
A5059408530,Andreas Hackl,2020,University of Edinburgh,GB,,Journal of the Royal Anthropological Institute (JRAI),1,89,957
A5111840715,Andrei S. Markovits,1980;1988,,,,New German Critique,2,226,2299
A5000952698,Andrew Arato,2016,,,,Constellations,1,223,8246
A5084601970,Andrew Bennett,1993,Georgetown University,US,,British Journal of Middle Eastern Studies (BRISMES),1,66,14236
A5065414732,Andrew Clark,2004,,,,Middle East Journal,1,61,610
